Classifier,Success Rate
LDA,0.4
LDA CV,0.6166666666666666
KNN5,0.4666666666666667
KNN5 CV,0.6500000000000001
KNN7,0.4
KNN7 CV,0.6000000000000001
SVC,0.26666666666666666
SVC CV,0.7499999999999999
NB,0.4666666666666667
NB CV,0.5666666666666667
LR,0.4666666666666667
LR CV,0.5333333333333333
LDA GA,0.4666666666666667
LDA GA CV,0.7
KNN5 GA,0.4666666666666667
KNN5 GA CV,0.6500000000000001
KNN7 GA,0.5333333333333333
KNN7 GA CV,0.6666666666666666
SVC GA,0.4
SVC GA CV,0.6666666666666667
NB GA,0.5333333333333333
NB GA CV,0.7166666666666667
LR GA,0.4
LR GA CV,0.6833333333333332
MV,0.4
MV_GA,0.4666666666666667
MV_ALL,0.4666666666666667
STACKING,0.4
OSTACKING ,0.4666666666666667
OSTACKING GA,0.5333333333333333
OSTACKING ALL,0.4
MV CV,0.6499999999999999
MV_GA CV,0.7
MV_ALL CV,0.7333333333333333
OSTACKING  CV,0.6666666666666667
OSTACKING GA CV,0.7
OSTACKING ALL CV,0.7333333333333334
