Classifier,Success Rate
LDA,0.4666666666666667
LDA CV,0.6333333333333334
KNN5,0.5333333333333333
KNN5 CV,0.5666666666666667
KNN7,0.5333333333333333
KNN7 CV,0.6166666666666666
SVC,0.6
SVC CV,0.6333333333333334
NB,0.6666666666666666
NB CV,0.6666666666666667
LR,0.5333333333333333
LR CV,0.65
LDA GA,0.6666666666666666
LDA GA CV,0.6666666666666666
KNN5 GA,0.6
KNN5 GA CV,0.6166666666666667
KNN7 GA,0.5333333333333333
KNN7 GA CV,0.55
SVC GA,0.7333333333333333
SVC GA CV,0.6833333333333333
NB GA,0.6666666666666666
NB GA CV,0.75
LR GA,0.6
LR GA CV,0.7333333333333333
MV,0.5333333333333333
MV_GA,0.6666666666666666
MV_ALL,0.6
STACKING,0.6
OSTACKING ,0.5333333333333333
OSTACKING GA,0.8
OSTACKING ALL,0.7333333333333333
MV CV,0.6166666666666667
MV_GA CV,0.6833333333333333
MV_ALL CV,0.7
OSTACKING  CV,0.6333333333333333
OSTACKING GA CV,0.7
OSTACKING ALL CV,0.6833333333333333
